authors,year,title,primary_venue,preprint,field,link,summary,relevance_category,relevance_reason,relevance_dimension,in_bibliography,read_status,is_technical_precedent
"Costello, T. H., Pennycook, G., & Rand, D. G.",2024,Durably reducing conspiracy beliefs through dialogues with AI,Science 385(6714),,social psychology,https://doi.org/10.1126/science.adq1814,A single AI-driven conversation can durably reduce conspiracy beliefs with effects persisting two months later using a general-purpose LLM without a curated technique corpus.,core,Closest empirical precedent for AI-driven belief change via dialogue; our work extends it by making strategy selection explicit rather than implicit in pretraining.,motivation / gap,TRUE,full,True
"Estornell, A., & Liu, Y.",2024,Multi-LLM Debate: Framework Principals and Interventions,NeurIPS 2024,,NLP / multi-agent systems,https://doi.org/10.52202/079017-0911,Multi-agent debate improves LLM reasoning but agents sharing a training distribution converge on shared biases rather than reaching better answers.,core,Motivates our shared-bias limitation; also provides the multi-agent debate framing our system extends toward belief intervention.,method / evaluation,TRUE,full,True
"Gorwa, R., Binns, R., & Katzenbach, C.",2020,Algorithmic content moderation: Technical and political challenges in the automation of platform governance,Big Data & Society 7(1),,law / policy,https://doi.org/10.1177/2053951720943234,Documents the technical and political limitations of automated content moderation as a governance tool for harmful online speech.,supporting,Establishes that content-level moderation is insufficient — motivates belief-level intervention as a complementary approach.,motivation,TRUE,full,False
"Hong, Z. et al.",2024,Curiosity-driven Red-teaming for Large Language Models,ICLR 2024,arXiv:2402.19464,NLP / LLM safety,https://arxiv.org/abs/2402.19464,Automatically generated adversarial prompts can elicit unsafe outputs from well-performing LLMs motivating robust intervention mechanisms.,supporting,Shows LLMs are vulnerable to adversarial inputs; motivates need for structured technique constraints rather than unconstrained generation.,motivation,TRUE,full,True
"Izacard, G. et al.",2023,Atlas: Few-shot Learning with Retrieval Augmented Language Models,JMLR 24(251),,information retrieval / NLP,https://arxiv.org/abs/2208.03299,Retrieved passages substantially improve LLM generation on knowledge-intensive tasks establishing the grounding motivation for RAG.,supporting,Foundational RAG citation motivating both retrieval channels in our system.,method,TRUE,full,True
"Kumar, D., AbuHashem, Y., & Durumeric, Z.",2023,Watch Your Language: Investigating Content Moderation with Large Language Models,,arXiv:2309.14517,NLP / content moderation,https://arxiv.org/abs/2309.14517,Instruction-tuned LLMs outperform traditional classifiers on toxicity detection but remain sensitive to context shifts.,supporting,Situates our work relative to detection-oriented LLM moderation; we operate at the belief layer rather than the content layer.,motivation,TRUE,full,True
"Leo, R. A.",2008,Police Interrogation and American Justice,Harvard University Press,,criminology / law,,Documents the Reid Technique's history and criticisms particularly regarding false confessions in real interrogation contexts.,core,Primary source for the Reid Technique used in our corpus; also motivates our exclusion of coercive steps on ethical grounds.,method / ethics,TRUE,full,False
"Oleszkiewicz, S., Granhag, P. A., & Kleinman, S. M.",2014,On Eliciting Intelligence from Human Sources: Contextualizing the Scharff-Technique,Applied Cognitive Psychology 28(6),,forensic psychology,https://doi.org/10.1002/acp.3073,Formalizes the Scharff Technique showing that implying familiarity rather than direct questioning elicits more information from sources.,core,Direct source for the Scharff-style indirect argument deployment used in our Stage-2 generator.,method,TRUE,full,False
"Ribeiro, M. H. et al.",2018,Like Sheep Among Wolves: Characterizing Hateful Users on Twitter,,arXiv:1801.00317,network science / computational social science,https://arxiv.org/abs/1801.00317,A small number of high-centrality accounts in hateful Twitter communities are responsible for a disproportionate share of content propagation.,core,Motivates selective high-centrality targeting as an economically viable deployment strategy; directly cited in our future work.,motivation / future work,TRUE,full,True
"Sun, X. et al.",2023,Explicit Time Embedding Based Cascade Attention Network for Information Popularity Prediction,Information Processing & Management 60(3),,network science / graph learning,https://doi.org/10.1016/j.ipm.2023.103278,Combines timing information with network structure to estimate how widely content will spread in online networks.,supporting,Dynamic graph learning tool for modeling influence propagation — part of the upstream targeting pipeline described in future work.,future work,TRUE,full,True
