quad_id,topic,seed,condition,interrogator_stance,suspect_init_direction,turn,stance_score
housing_prop_123_42_20260521T234447,housing_prop_123,42,control,for,-2,6,-2
housing_prop_123_42_20260521T234447,housing_prop_123,42,control,against,2,6,0
housing_prop_123_42_20260521T234447,housing_prop_123,42,treatment,for,-2,6,1
housing_prop_123_42_20260521T234447,housing_prop_123,42,treatment,against,2,6,0
housing_prop_123_43_20260521T235242,housing_prop_123,43,control,for,-2,6,2
housing_prop_123_43_20260521T235242,housing_prop_123,43,control,against,2,6,2
housing_prop_123_43_20260521T235242,housing_prop_123,43,treatment,for,-2,6,1
housing_prop_123_43_20260521T235242,housing_prop_123,43,treatment,against,2,6,1
housing_prop_123_44_20260522T000100,housing_prop_123,44,control,for,-2,6,1
housing_prop_123_44_20260522T000100,housing_prop_123,44,control,against,2,6,1
housing_prop_123_44_20260522T000100,housing_prop_123,44,treatment,for,-2,6,1
housing_prop_123_44_20260522T000100,housing_prop_123,44,treatment,against,2,6,1
housing_prop_123_45_20260522T000822,housing_prop_123,45,control,for,-2,6,2
housing_prop_123_45_20260522T000822,housing_prop_123,45,control,against,2,6,2
housing_prop_123_45_20260522T000822,housing_prop_123,45,treatment,for,-2,6,0
housing_prop_123_45_20260522T000822,housing_prop_123,45,treatment,against,2,6,2
housing_prop_123_46_20260522T001619,housing_prop_123,46,control,for,-2,6,0
housing_prop_123_46_20260522T001619,housing_prop_123,46,control,against,2,6,2
housing_prop_123_46_20260522T001619,housing_prop_123,46,treatment,for,-2,6,-2
housing_prop_123_46_20260522T001619,housing_prop_123,46,treatment,against,2,6,0
arts_funding_measure_b_42_20260522T002310,arts_funding_measure_b,42,control,for,-2,6,1
arts_funding_measure_b_42_20260522T002310,arts_funding_measure_b,42,control,against,2,6,0
arts_funding_measure_b_42_20260522T002310,arts_funding_measure_b,42,treatment,for,-2,6,0
arts_funding_measure_b_42_20260522T002310,arts_funding_measure_b,42,treatment,against,2,6,-2
arts_funding_measure_b_43_20260522T003022,arts_funding_measure_b,43,control,for,-2,6,0
arts_funding_measure_b_43_20260522T003022,arts_funding_measure_b,43,control,against,2,6,1
arts_funding_measure_b_43_20260522T003022,arts_funding_measure_b,43,treatment,for,-2,6,0
arts_funding_measure_b_43_20260522T003022,arts_funding_measure_b,43,treatment,against,2,6,-1
arts_funding_measure_b_44_20260522T003742,arts_funding_measure_b,44,control,for,-2,6,2
arts_funding_measure_b_44_20260522T003742,arts_funding_measure_b,44,control,against,2,6,2
arts_funding_measure_b_44_20260522T003742,arts_funding_measure_b,44,treatment,for,-2,6,-2
arts_funding_measure_b_44_20260522T003742,arts_funding_measure_b,44,treatment,against,2,6,1
arts_funding_measure_b_45_20260522T004451,arts_funding_measure_b,45,control,for,-2,6,0
arts_funding_measure_b_45_20260522T004451,arts_funding_measure_b,45,control,against,2,6,1
arts_funding_measure_b_45_20260522T004451,arts_funding_measure_b,45,treatment,for,-2,6,-1
arts_funding_measure_b_45_20260522T004451,arts_funding_measure_b,45,treatment,against,2,6,2
arts_funding_measure_b_46_20260522T005151,arts_funding_measure_b,46,control,for,-2,6,0
arts_funding_measure_b_46_20260522T005151,arts_funding_measure_b,46,control,against,2,6,1
arts_funding_measure_b_46_20260522T005151,arts_funding_measure_b,46,treatment,for,-2,6,2
arts_funding_measure_b_46_20260522T005151,arts_funding_measure_b,46,treatment,against,2,6,0
transit_fare_prop_x_42_20260522T005913,transit_fare_prop_x,42,control,for,-2,6,0
transit_fare_prop_x_42_20260522T005913,transit_fare_prop_x,42,control,against,2,6,1
transit_fare_prop_x_42_20260522T005913,transit_fare_prop_x,42,treatment,for,-2,6,2
transit_fare_prop_x_42_20260522T005913,transit_fare_prop_x,42,treatment,against,2,6,0
transit_fare_prop_x_43_20260522T010634,transit_fare_prop_x,43,control,for,-2,6,1
transit_fare_prop_x_43_20260522T010634,transit_fare_prop_x,43,control,against,2,6,1
transit_fare_prop_x_43_20260522T010634,transit_fare_prop_x,43,treatment,for,-2,6,1
transit_fare_prop_x_43_20260522T010634,transit_fare_prop_x,43,treatment,against,2,6,-1
transit_fare_prop_x_44_20260522T011416,transit_fare_prop_x,44,control,for,-2,6,0
transit_fare_prop_x_44_20260522T011416,transit_fare_prop_x,44,control,against,2,6,1
transit_fare_prop_x_44_20260522T011416,transit_fare_prop_x,44,treatment,for,-2,6,1
transit_fare_prop_x_44_20260522T011416,transit_fare_prop_x,44,treatment,against,2,6,-1
transit_fare_prop_x_45_20260522T012124,transit_fare_prop_x,45,control,for,-2,6,0
transit_fare_prop_x_45_20260522T012124,transit_fare_prop_x,45,control,against,2,6,0
transit_fare_prop_x_45_20260522T012124,transit_fare_prop_x,45,treatment,for,-2,6,0
transit_fare_prop_x_45_20260522T012124,transit_fare_prop_x,45,treatment,against,2,6,-1
transit_fare_prop_x_46_20260522T012836,transit_fare_prop_x,46,control,for,-2,6,0
transit_fare_prop_x_46_20260522T012836,transit_fare_prop_x,46,control,against,2,6,-1
transit_fare_prop_x_46_20260522T012836,transit_fare_prop_x,46,treatment,for,-2,6,-2
transit_fare_prop_x_46_20260522T012836,transit_fare_prop_x,46,treatment,against,2,6,0
