quad_id,topic,seed,condition,interrogator_stance,suspect_init_direction,magnitude,direction,consistency,directional_accuracy,techniques_used
davis_measure_v_village_farms_42_20260528T105135,davis_measure_v_village_farms,42,control,for,-2,1.0,1,0.9048,True,
davis_measure_v_village_farms_42_20260528T105135,davis_measure_v_village_farms,42,control,against,2,4.0,-1,2.2381,True,
davis_measure_v_village_farms_42_20260528T105135,davis_measure_v_village_farms,42,treatment,for,-2,2.0,1,1.0,True,
davis_measure_v_village_farms_42_20260528T105135,davis_measure_v_village_farms,42,treatment,against,2,3.0,-1,3.2857,True,
davis_measure_v_village_farms_43_20260528T110240,davis_measure_v_village_farms,43,control,for,-2,3.0,-1,2.1429,False,
davis_measure_v_village_farms_43_20260528T110240,davis_measure_v_village_farms,43,control,against,2,2.0,1,1.0,False,
davis_measure_v_village_farms_43_20260528T110240,davis_measure_v_village_farms,43,treatment,for,-2,0.0,0,0.0,False,
davis_measure_v_village_farms_43_20260528T110240,davis_measure_v_village_farms,43,treatment,against,2,2.0,-1,0.619,True,
davis_measure_v_village_farms_44_20260528T111254,davis_measure_v_village_farms,44,control,for,-2,1.0,-1,0.8095,False,
davis_measure_v_village_farms_44_20260528T111254,davis_measure_v_village_farms,44,control,against,2,4.0,1,3.0,False,
davis_measure_v_village_farms_44_20260528T111254,davis_measure_v_village_farms,44,treatment,for,-2,1.0,1,0.2857,True,
davis_measure_v_village_farms_44_20260528T111254,davis_measure_v_village_farms,44,treatment,against,2,0.0,0,0.0,False,
davis_measure_v_village_farms_45_20260528T112247,davis_measure_v_village_farms,45,control,for,-2,2.0,-1,1.9048,False,
davis_measure_v_village_farms_45_20260528T112247,davis_measure_v_village_farms,45,control,against,2,0.0,0,2.1429,False,
davis_measure_v_village_farms_45_20260528T112247,davis_measure_v_village_farms,45,treatment,for,-2,0.0,0,1.9048,False,
davis_measure_v_village_farms_45_20260528T112247,davis_measure_v_village_farms,45,treatment,against,2,2.0,-1,0.8095,True,
davis_measure_v_village_farms_46_20260528T113235,davis_measure_v_village_farms,46,control,for,-2,3.0,1,1.1429,True,
davis_measure_v_village_farms_46_20260528T113235,davis_measure_v_village_farms,46,control,against,2,0.0,0,1.2381,False,
davis_measure_v_village_farms_46_20260528T113235,davis_measure_v_village_farms,46,treatment,for,-2,3.0,1,1.3333,True,
davis_measure_v_village_farms_46_20260528T113235,davis_measure_v_village_farms,46,treatment,against,2,3.0,-1,2.3333,True,
